"","lemma","Polarity","Emotion_Category","Personality"
"19105","烦言","N",NA,NA
"19106","烦厌","N",NA,NA
"19107","烦忧","N",NA,NA
"19108","烦杂","N",NA,NA
"19109","烦燥","N",NA,NA
"19110","烦躁","N",NA,NA
"19111","繁复","N",NA,NA
"19112","繁乱","N",NA,NA
"19113","繁难","N",NA,NA
"19114","繁冗","N",NA,NA
"19115","繁缛","N",NA,NA
"19116","繁琐","N",NA,NA
"19117","繁芜","N",NA,NA
"19118","繁言","N",NA,NA
"19119","繁杂","N",NA,NA
"19120","反驳","N",NA,NA
"19121","反常现象","N",NA,NA
"19122","反冲","N",NA,NA
"19123","反唇相讥","N",NA,NA
"19124","反唇相稽","N",NA,NA
"19125","反弹","N",NA,NA
"19126","反弹","P",NA,NA
"19127","反动","N",NA,NA
"19128","反动分子","N",NA,NA
"19129","反动主义","N",NA,NA
"19130","反动主义者","N",NA,NA
"19131","反对","N",NA,NA
"19132","反对改革","N",NA,NA
"19133","反反复复","N",NA,NA
"19134","反讽","N",NA,NA
"19135","反复","N",NA,NA
"19136","反复无常","N",NA,NA
"19137","反覆无常","N",NA,NA
"19138","反戈一击","N",NA,NA
"19139","反攻","N",NA,NA
"19140","反躬自省","N",NA,NA
"19141","反光","N",NA,NA
"19142","反话","N",NA,NA
"19143","反击","N",NA,NA
"19144","反垄断","N",NA,NA
"19145","反垄断法","N",NA,NA
"19146","反面","N",NA,NA
"19147","反面教材","N",NA,NA
"19148","反面无情","N",NA,NA
"19149","反目","N",NA,NA
"19150","反目无情","N",NA,NA
"19151","反扑","N",NA,NA
"19152","反其道而行","N",NA,NA
"19153","反其道而行之","N",NA,NA
"19154","反裘负刍","N",NA,NA
"19155","反裘负当","N",NA,NA
"19156","反裘负薪","N",NA,NA
"19157","反裘伤皮","N",NA,NA
"19158","反社会","N",NA,NA
"19159","反托拉斯","N",NA,NA
"19160","反胃","N",NA,NA
"19161","反诬","N",NA,NA
"19162","反眼不识","N",NA,NA
"19163","反证","N",NA,NA
"19164","返修","N",NA,NA
"19165","犯病","N",NA,NA
"19166","犯怵","N",NA,NA
"19167","犯憷","N",NA,NA
"19168","犯错","N",NA,NA
"19169","犯得着","N",NA,NA
"19170","犯规","N",NA,NA
"19171","犯红眼病","N",NA,NA
"19172","犯讳","N",NA,NA
"19173","犯浑","N",NA,NA
"19174","犯急","N",NA,NA
"19175","犯忌","N",NA,NA
"19176","犯贱","N",NA,NA
"19177","犯戒","N",NA,NA
"19178","犯禁","N",NA,NA
"19179","犯了罪","N",NA,NA
"19180","犯难","N",NA,NA
"19181","犯人","N",NA,NA
"19182","犯杀人罪","N",NA,NA
"19183","犯傻","N",NA,NA
"19184","犯上作乱","N",NA,NA
"19185","犯事","N",NA,NA
"19186","犯疑心病","N",NA,NA
"19187","泛读","N",NA,NA
"19188","泛泛而谈","N",NA,NA
"19189","泛滥","N",NA,NA
"19190","泛滥成灾","N",NA,NA
"19191","泛音","N",NA,NA
"19192","饭坑酒囊","N",NA,NA
"19193","饭来开口","N",NA,NA
"19194","饭来张口","N",NA,NA
"19195","饭囊","N",NA,NA
"19196","饭囊酒甕","N",NA,NA
"19197","饭囊衣架","N",NA,NA
"19198","饭桶","N",NA,NA
"19199","贩毒","N",NA,NA
"19200","贩黄","N",NA,NA
"19201","贩假","N",NA,NA
"19202","贩交买名","N",NA,NA
"19203","贩私","N",NA,NA
"19204","贩子","N",NA,NA
"19205","方便之门","N",NA,NA
"19206","方程","N",NA,NA
"19207","方寸已乱","N",NA,NA
"19208","方底圆盖","N",NA,NA
"19209","方剂","N",NA,NA
"19210","方家伟","N",NA,NA
"19211","方枘圆凿","N",NA,NA
"19212","方头不劣","N",NA,NA
"19213","方头不律","N",NA,NA
"19214","防不胜防","N",NA,NA
"19215","防毒","N",NA,NA
"19216","防毒面具","N",NA,NA
"19217","防守状态","N",NA,NA
"19218","妨碍","N",NA,NA
"19219","妨碍者","N",NA,NA
"19220","妨功害能","N",NA,NA
"19221","妨害物","N",NA,NA
"19222","房门","N",NA,NA
"19223","房奴","N",NA,NA
"19224","房钱","N",NA,NA
"19225","房训","N",NA,NA
"19226","房租","N",NA,NA
"19227","仿冒","N",NA,NA
"19228","仿造","N",NA,NA
"19229","仿制","N",NA,NA
"19230","彷徨","N",NA,NA
"19231","纺机","N",NA,NA
"19232","放黜","N",NA,NA
"19233","放诞","N",NA,NA
"19234","放诞风流","N",NA,NA
"19235","放荡","N",NA,NA
"19236","放荡不羁","N",NA,NA
"19237","放低","N",NA,NA
"19238","放刁","N",NA,NA
"19239","放刁把滥","N",NA,NA
"19240","放刁撒泼","N",NA,NA
"19241","放毒","N",NA,NA
"19242","放饭流歠","N",NA,NA
"19243","放狗","N",NA,NA
"19244","放过","N",NA,NA
"19245","放虎归山","N",NA,NA
"19246","放虎自卫","N",NA,NA
"19247","放火","N",NA,NA
"19248","放空炮","N",NA,NA
"19249","放浪","N",NA,NA
"19250","放浪江湖","N",NA,NA
"19251","放冷风","N",NA,NA
"19252","放炮","N",NA,NA
"19253","放辟邪侈","N",NA,NA
"19254","放辟淫侈","N",NA,NA
"19255","放僻邪侈","N",NA,NA
"19256","放僻淫佚","N",NA,NA
"19257","放泼撒豪","N",NA,NA
"19258","放弃","N",NA,NA
"19259","放弃权利","N",NA,NA
"19260","放任自流","N",NA,NA
"19261","放任自我","N",NA,NA
"19262","放射","N",NA,NA
"19263","放血","N",NA,NA
"19264","放一个屁","N",NA,NA
"19265","放逐","N",NA,NA
"19266","放恣","N",NA,NA
"19267","放纵","N",NA,NA
"19268","飞虫","N",NA,NA
"19269","飞短流长","N",NA,NA
"19270","飞蛾","N",NA,NA
"19271","飞蛾赴火","N",NA,NA
"19272","飞溅","N",NA,NA
"19273","飞来横祸","N",NA,NA
"19274","飞流短长","N",NA,NA
"19275","飞谋钓谤","N",NA,NA
"19276","飞谋荐谤","N",NA,NA
"19277","飞禽走兽","N",NA,NA
"19278","飞沙走石","N",NA,NA
"19279","飞言醋语","N",NA,NA
"19280","飞殃走祸","N",NA,NA
"19281","飞扬跋扈","N",NA,NA
"19282","飞灾","N",NA,NA
"19283","飞灾横祸","N",NA,NA
"19284","飞贼","N",NA,NA
"19285","飞涨","N",NA,NA
"19286","飞涨","P",NA,NA
"19287","非常饥饿","N",NA,NA
"19288","非分之想","N",NA,NA
"19289","非婚生子","N",NA,NA
"19290","非婚生子女","N",NA,NA
"19291","非机动车","N",NA,NA
"19292","非礼","N",NA,NA
"19293","非驴非马","N",NA,NA
"19294","非命","N",NA,NA
"19295","非难","N",NA,NA
"19296","非难的理由","N",NA,NA
"19297","非线性","N",NA,NA
"19298","非笑","N",NA,NA
"19299","非刑","N",NA,NA
"19300","非议","N",NA,NA
"19301","非意相干","N",NA,NA
"19302","非真正","N",NA,NA
"19303","非正式","N",NA,NA
"19304","非自愿","N",NA,NA
"19305","蜚语","N",NA,NA
"19306","肥","N",NA,NA
"19307","肥肠满脑","N",NA,NA
"19308","肥大","N",NA,NA
"19309","肥马轻裘","N",NA,NA
"19310","肥胖","N",NA,NA
"19311","肥肉","N",NA,NA
"19312","肥头大耳","N",NA,NA
"19313","匪帮","N",NA,NA
"19314","匪巢","N",NA,NA
"19315","匪盗","N",NA,NA
"19316","匪谍","N",NA,NA
"19317","匪患","N",NA,NA
"19318","匪祸","N",NA,NA
"19319","匪类","N",NA,NA
"19320","匪首","N",NA,NA
"19321","匪徒","N",NA,NA
"19322","匪穴","N",NA,NA
"19323","诽谤","N",NA,NA
"19324","诽谤性","N",NA,NA
"19325","悱恻","N",NA,NA
"19326","吠尽","N",NA,NA
"19327","吠形吠声","N",NA,NA
"19328","吠影吠声","N",NA,NA
"19329","废柴","N",NA,NA
"19330","废弛","N",NA,NA
"19331","废除","N",NA,NA
"19332","废掉","N",NA,NA
"19333","废话","N",NA,NA
"19334","废话连篇","N",NA,NA
"19335","废旧","N",NA,NA
"19336","废品","N",NA,NA
"19337","废弃","N",NA,NA
"19338","废然","N",NA,NA
"19339","废人","N",NA,NA
"19340","废书而叹","N",NA,NA
"19341","废铁","N",NA,NA
"19342","废物","N",NA,NA
"19343","废墟","N",NA,NA
"19344","废渣","N",NA,NA
"19345","废止","N",NA,NA
"19346","沸反盈天","N",NA,NA
"19347","沸沸扬扬","N",NA,NA
"19348","肺癌","N",NA,NA
"19349","肺病","N",NA,NA
"19350","肺痨","N",NA,NA
"19351","肺泡","N",NA,NA
"19352","肺炎","N",NA,NA
"19353","费爱华","N",NA,NA
"19354","费解","N",NA,NA
"19355","费尽九","N",NA,NA
"19356","费尽心机","N",NA,NA
"19357","费劲","N",NA,NA
"19358","费精神","N",NA,NA
"19359","费力","N",NA,NA
"19360","费力地做","N",NA,NA
"19361","费列罗里","N",NA,NA
"19362","费钱","N",NA,NA
"19363","费神","N",NA,NA
"19364","费时","N",NA,NA
"19365","费事","N",NA,NA
"19366","费心","N",NA,NA
"19367","费心","P",NA,NA
"19368","费用大","N",NA,NA
"19369","费用浩大","N",NA,NA
"19370","痱子","N",NA,NA
"19371","分贝","N",NA,NA
"19372","分崩离析","N",NA,NA
"19373","分肥","N",NA,NA
"19374","分割","N",NA,NA
"19375","分隔","N",NA,NA
"19376","分毫不值","N",NA,NA
"19377","分化","N",NA,NA
"19378","分化瓦解","N",NA,NA
"19379","分斤拨两","N",NA,NA
"19380","分开","N",NA,NA
"19381","分科","N",NA,NA
"19382","分离","N",NA,NA
"19383","分泌毒液","N",NA,NA
"19384","分情破爱","N",NA,NA
"19385","分身","N",NA,NA
"19386","分式","N",NA,NA
"19387","分文不名","N",NA,NA
"19388","分文不直","N",NA,NA
"19389","分文不值","N",NA,NA
"19390","分心的事物","N",NA,NA
"19391","分星拨两","N",NA,NA
"19392","分宜","N",NA,NA
"19393","分赃","N",NA,NA
"19394","分子生物学","N",NA,NA
"19395","纷乱","N",NA,NA
"19396","纷扰","N",NA,NA
"19397","纷纭","N",NA,NA
"19398","纷杂","N",NA,NA
"19399","纷争","N",NA,NA
"19400","酚酞","N",NA,NA
"19401","坟地","N",NA,NA
"19402","坟墓","N",NA,NA
"19403","焚花之论","N",NA,NA
"19404","焚林而猎","N",NA,NA
"19405","焚林而狩","N",NA,NA
"19406","焚林而田","N",NA,NA
"19407","焚林而畋","N",NA,NA
"19408","焚林竭泽","N",NA,NA
"19409","焚琴鬻鹤","N",NA,NA
"19410","焚琴煮鹤","N",NA,NA
"19411","焚烧","N",NA,NA
"19412","焚书坑儒","N",NA,NA
"19413","焚薮而田","N",NA,NA
"19414","粉屌","N",NA,NA
"19415","粉好","N",NA,NA
"19416","粉瘤","N",NA,NA
"19417","粉饰","N",NA,NA
"19418","粉饰","P",NA,NA
"19419","粉饰太平","N",NA,NA
"19420","粉碎","N",NA,NA
"19421","粉无聊","N",NA,NA
"19422","份饭","N",NA,NA
"19423","忿忿","N",NA,NA
"19424","忿忿然","N",NA,NA
"19425","忿恚","N",NA,NA
"19426","忿懑","N",NA,NA
"19427","偾事","N",NA,NA
"19428","愤而","N",NA,NA
"19429","愤愤","N",NA,NA
"19430","愤愤不平","N",NA,NA
"19431","愤愤然","N",NA,NA
"19432","愤恨","N",NA,NA
"19433","愤激","N",NA,NA
"19434","愤慨","N",NA,NA
"19435","愤懑","N",NA,NA
"19436","愤怒","N",NA,NA
"19437","愤然作色","N",NA,NA
"19438","愤世","N",NA,NA
"19439","愤世嫉俗","N",NA,NA
"19440","粪坑","N",NA,NA
"19441","粪尿","N",NA,NA
"19442","粪土","N",NA,NA
"19443","粪土不如","N",NA,NA
"19444","丰墙墝下","N",NA,NA
"19445","丰墙峭阯","N",NA,NA
"19446","风暴","N",NA,NA
"19447","风波","N",NA,NA
"19448","风餐露宿","N",NA,NA
"19449","风车云马","N",NA,NA
"19450","风吹","N",NA,NA
"19451","风吹草动","N",NA,NA
"19452","风花雪月","N",NA,NA
"19453","风鬟雨鬓","N",NA,NA
"19454","风机","N",NA,NA
"19455","风浪","N",NA,NA
"19456","风凉","N",NA,NA
"19457","风流","N",NA,NA
"19458","风流","P",NA,NA
"19459","风流韵事","N",NA,NA
"19460","风流罪过","N",NA,NA
"19461","风骚","N",NA,NA
"19462","风声鹤唳","N",NA,NA
"19463","风湿","N",NA,NA
"19464","风霜","N",NA,NA
"19465","风头","N",NA,NA
"19466","风险","N",NA,NA
"19467","风言醋语","N",NA,NA
"19468","风言风语","N",NA,NA
"19469","风言影语","N",NA,NA
"19470","风雨晦暝","N",NA,NA
"19471","风雨如磐","N",NA,NA
"19472","风疹","N",NA,NA
"19473","封官许愿","N",NA,NA
"19474","封胡羯末","N",NA,NA
"19475","封己守残","N",NA,NA
"19476","封建","N",NA,NA
"19477","封建迷信","N",NA,NA
"19478","封路","N",NA,NA
"19479","封门","N",NA,NA
"19480","封杀","N",NA,NA
"19481","封豕长蛇","N",NA,NA
"19482","封豨修蛇","N",NA,NA
"19483","封豨脩蛇","N",NA,NA
"19484","疯","N",NA,NA
"19485","疯癫","N",NA,NA
"19486","疯疯癫癫","N",NA,NA
"19487","疯狗","N",NA,NA
"19488","疯话","N",NA,NA
"19489","疯狂","N",NA,NA
"19490","疯狂","P",NA,NA
"19491","疯人","N",NA,NA
"19492","疯药","N",NA,NA
"19493","疯子","N",NA,NA
"19494","烽鼓不息","N",NA,NA
"19495","烽火连天","N",NA,NA
"19496","锋芒逼人","N",NA,NA
"19497","锋芒必露","N",NA,NA
"19498","锋芒毕露","N",NA,NA
"19499","锋芒不露","N",NA,NA
"19500","蜂拥","N",NA,NA
"19501","蜂拥而上","N",NA,NA
"19502","凤毛鸡胆","N",NA,NA
"19503","讽刺","N",NA,NA
"19504","讽剌","N",NA,NA
"19505","讽剌之事","N",NA,NA
"19506","奉劝","N",NA,NA
"19507","奉头鼠窜","N",NA,NA
"19508","奉行故事","N",NA,NA
"19509","奉迎","N",NA,NA
"19510","奉迎","P",NA,NA
"19511","俸禄","N",NA,NA
"19512","缝你嘴巴","N",NA,NA
"19513","否决","N",NA,NA
"19514","否决权","N",NA,NA
"19515","否认","N",NA,NA
"19516","夫子","N",NA,NA
"19517","夫子自道","N",NA,NA
"19518","肤泛","N",NA,NA
"19519","肤见謭识","N",NA,NA
"19520","肤末支离","N",NA,NA
"19521","肤皮潦草","N",NA,NA
"19522","肤浅","N",NA,NA
"19523","肤粟股栗","N",NA,NA
"19524","敷衍了事","N",NA,NA
"19525","敷衍塞责","N",NA,NA
"19526","敷衍搪塞","N",NA,NA
"19527","敷药","N",NA,NA
"19528","伏低做小","N",NA,NA
"19529","伏击","N",NA,NA
"19530","伏诛","N",NA,NA
"19531","佛口蛇心","N",NA,NA
"19532","扶东倒西","N",NA,NA
"19533","扶墙摸壁","N",NA,NA
"19534","怫然","N",NA,NA
"19535","怫然不悦","N",NA,NA
"19536","怫然作色","N",NA,NA
"19537","拂意","N",NA,NA
"19538","服毒","N",NA,NA
"19539","服麻醉品","N",NA,NA
"19540","服丧","N",NA,NA
"19541","服罪","N",NA,NA
"19542","俘虏","N",NA,NA
"19543","俘虏","P",NA,NA
"19544","浮报","N",NA,NA
"19545","浮笔浪墨","N",NA,NA
"19546","浮词","N",NA,NA
"19547","浮荡","N",NA,NA
"19548","浮动","N",NA,NA
"19549","浮泛","N",NA,NA
"19550","浮光掠影","N",NA,NA
"19551","浮光略影","N",NA,NA
"19552","浮花浪蕊","N",NA,NA
"19553","浮滑","N",NA,NA
"19554","浮夸","N",NA,NA
"19555","浮礼","N",NA,NA
"19556","浮名","N",NA,NA
"19557","浮皮蹭痒","N",NA,NA
"19558","浮皮潦草","N",NA,NA
"19559","浮漂","N",NA,NA
"19560","浮浅","N",NA,NA
"19561","浮生","N",NA,NA
"19562","浮生若梦","N",NA,NA
"19563","浮石沈木","N",NA,NA
"19564","浮石沉木","N",NA,NA
"19565","浮收勒索","N",NA,NA
"19566","浮收勒折","N",NA,NA
"19567","浮头滑脑","N",NA,NA
"19568","浮艳","N",NA,NA
"19569","浮语虚词","N",NA,NA
"19570","浮云蔽日","N",NA,NA
"19571","浮渣","N",NA,NA
"19572","艴然不悦","N",NA,NA
"19573","福善祸淫","N",NA,NA
"19574","福无双至","N",NA,NA
"19575","辐射","N",NA,NA
"19576","抚心自问","N",NA,NA
"19577","俛首帖耳","N",NA,NA
"19578","俯首听命","N",NA,NA
"19579","俯仰随人","N",NA,NA
"19580","釜中生鱼","N",NA,NA
"19581","腐败","N",NA,NA
"19582","腐败堕落","N",NA,NA
"19583","腐恶","N",NA,NA
"19584","腐化堕落","N",NA,NA
"19585","腐坏","N",NA,NA
"19586","腐旧","N",NA,NA
"19587","腐烂","N",NA,NA
"19588","腐肉","N",NA,NA
"19589","腐蚀","N",NA,NA
"19590","腐蚀物","N",NA,NA
"19591","腐蚀性","N",NA,NA
"19592","腐朽没落","N",NA,NA
"19593","讣告","N",NA,NA
"19594","付之东流","N",NA,NA
"19595","妇姑勃谿","N",NA,NA
"19596","妇人醇酒","N",NA,NA
"19597","妇人之仁","N",NA,NA
"19598","负","N",NA,NA
"19599","负才傲物","N",NA,NA
"19600","负才任气","N",NA,NA
"19601","负才使气","N",NA,NA
"19602","负材矜地","N",NA,NA
"19603","负材任气","N",NA,NA
"19604","负担","N",NA,NA
"19605","负德背义","N",NA,NA
"19606","负德孤恩","N",NA,NA
"19607","负地矜才","N",NA,NA
"19608","负恩背义","N",NA,NA
"19609","负恩忘义","N",NA,NA
"19610","负号","N",NA,NA
"19611","负荷","N",NA,NA
"19612","负极","N",NA,NA
"19613","负荆请罪","N",NA,NA
"19614","负荆请罪","P",NA,NA
"19615","负疚","N",NA,NA
"19616","负面","N",NA,NA
"19617","负气","N",NA,NA
"19618","负气斗狠","N",NA,NA
"19619","负屈","N",NA,NA
"19620","负三","N",NA,NA
"19621","负伤","N",NA,NA
"19622","负数","N",NA,NA
"19623","负俗之累","N",NA,NA
"19624","负五","N",NA,NA
"19625","负心","N",NA,NA
"19626","负薪救火","N",NA,NA
"19627","负一万","N",NA,NA
"19628","负义忘恩","N",NA,NA
"19629","负于","N",NA,NA
"19630","负隅","N",NA,NA
"19631","负隅顽抗","N",NA,NA
"19632","负约","N",NA,NA
"19633","负债","N",NA,NA
"19634","负债累累","N",NA,NA
"19635","负值","N",NA,NA
"19636","负罪","N",NA,NA
"19637","附表","N",NA,NA
"19638","附凤攀龙","N",NA,NA
"19639","附肤落毛","N",NA,NA
"19640","附会","N",NA,NA
"19641","附会穿凿","N",NA,NA
"19642","附骥","N",NA,NA
"19643","附骥名彰","N",NA,NA
"19644","附骥攀鳞","N",NA,NA
"19645","附逆","N",NA,NA
"19646","附膻逐腥","N",NA,NA
"19647","附声吠影","N",NA,NA
"19648","附势趋炎","N",NA,NA
"19649","附炎趋热","N",NA,NA
"19650","附翼攀鳞","N",NA,NA
"19651","附影附声","N",NA,NA
"19652","附庸","N",NA,NA
"19653","附庸风雅","N",NA,NA
"19654","附赘县疣","N",NA,NA
"19655","附赘悬疣","N",NA,NA
"19656","复仇","N",NA,NA
"19657","复蹈前辄","N",NA,NA
"19658","复发","N",NA,NA
"19659","复古","N",NA,NA
"19660","复核","N",NA,NA
"19661","复喉擦音","N",NA,NA
"19662","复活","N",NA,NA
"19663","复旧","N",NA,NA
"19664","复刊","N",NA,NA
"19665","复辟","N",NA,NA
"19666","复数","N",NA,NA
"19667","复线","N",NA,NA
"19668","复音","N",NA,NA
"19669","复杂","N",NA,NA
"19670","复杂的事物","N",NA,NA
"19671","复杂的因素","N",NA,NA
"19672","复杂化","N",NA,NA
"19673","富贵骄人","N",NA,NA
"19674","赋闲无事","N",NA,NA
"19675","腹背受敌","N",NA,NA
"19676","腹诽","N",NA,NA
"19677","腹诽心谤","N",NA,NA
"19678","腹腔","N",NA,NA
"19679","腹痛","N",NA,NA
"19680","腹泻","N",NA,NA
"19681","腹心之疾","N",NA,NA
"19682","腹有鳞甲","N",NA,NA
"19683","覆巢无完卵","N",NA,NA
"19684","覆没","N",NA,NA
"19685","覆灭","N",NA,NA
"19686","覆亡","N",NA,NA
"19687","覆雨翻云","N",NA,NA
"19688","覆辙","N",NA,NA
"19689","噶差","N",NA,NA
"19690","该罚","N",NA,NA
"19691","该罚下地狱","N",NA,NA
"19692","该死","N",NA,NA
"19693","该责备","N",NA,NA
"19694","该咒骂","N",NA,NA
"19695","改变成","N",NA,NA
"19696","改窜","N",NA,NA
"19697","改错","N",NA,NA
"19698","改道","N",NA,NA
"19699","改稿","N",NA,NA
"19700","改期","N",NA,NA
"19701","盖板","N",NA,NA
"19702","盖不由己","N",NA,NA
"19703","概念","N",NA,NA
"19704","概算","N",NA,NA
"19705","甘大声","N",NA,NA
"19706","甘放","N",NA,NA
"19707","甘好彩","N",NA,NA
"19708","甘好训","N",NA,NA
"19709","甘济","N",NA,NA
"19710","甘你屁事","N",NA,NA
"19711","甘声","N",NA,NA
"19712","甘我","N",NA,NA
"19713","甘我真","N",NA,NA
"19714","甘我仲","N",NA,NA
"19715","甘准","N",NA,NA
"19716","杆子","N",NA,NA
"19717","肝肠寸断","N",NA,NA
"19718","肝火","N",NA,NA
"19719","肝素","N",NA,NA
"19720","肝髓流野","N",NA,NA
"19721","泔水","N",NA,NA
"19722","乾咳","N",NA,NA
"19723","乾阴阳","N",NA,NA
"19724","乾燥","N",NA,NA
"19725","尴尬","N",NA,NA
"19726","赶不及","N",NA,NA
"19727","赶车","N",NA,NA
"19728","赶尽杀绝","N",NA,NA
"19729","赶快消失","N",NA,NA
"19730","赶任务","N",NA,NA
"19731","赶这样说","N",NA,NA
"19732","赶走","N",NA,NA
"19733","敢喵","N",NA,NA
"19734","敢喵我","N",NA,NA
"19735","敢怒不敢言","N",NA,NA
"19736","敢骗我","N",NA,NA
"19737","敢情","N",NA,NA
"19738","敢死你","N",NA,NA
"19739","感到抱歉","N",NA,NA
"19740","感到不适","N",NA,NA
"19741","感到後悔","N",NA,NA
"19742","感到极度痛苦","N",NA,NA
"19743","感到可怜","N",NA,NA
"19744","感到难过","N",NA,NA
"19745","感到疼痛","N",NA,NA
"19746","感到痛苦","N",NA,NA
"19747","感到遗憾","N",NA,NA
"19748","感到灼痛","N",NA,NA
"19749","感旧之哀","N",NA,NA
"19750","感觉不到","N",NA,NA
"19751","感觉神经","N",NA,NA
"19752","感情用事","N",NA,NA
"19753","感伤","N",NA,NA
"19754","感叹","N",NA,NA
"19755","干巴","N",NA,NA
"19756","干巴巴","N",NA,NA
"19757","干屄","N",NA,NA
"19758","干瘪","N",NA,NA
"19759","干瘪瘪","N",NA,NA
"19760","干脆","N",NA,NA
"19761","干脆","P",NA,NA
"19762","干到最高点","N",NA,NA
"19763","干道","N",NA,NA
"19764","干的好事","N",NA,NA
"19765","干犯","N",NA,NA
"19766","干干巴巴","N",NA,NA
"19767","干咳","N",NA,NA
"19768","干嚎","N",NA,NA
"19769","干号","N",NA,NA
"19770","干礁","N",NA,NA
"19771","干醮","N",NA,NA
"19772","干里娘操鸡麦","N",NA,NA
"19773","干林","N",NA,NA
"19774","干麻","N",NA,NA
"19775","干名采誉","N",NA,NA
"19776","干恁","N",NA,NA
"19777","干恁老老鸡掰","N",NA,NA
"19778","干恁娘","N",NA,NA
"19779","干你","N",NA,NA
"19780","干你老师","N",NA,NA
"19781","干你娘","N",NA,NA
"19782","干你全家","N",NA,NA
"19783","干你桌来","N",NA,NA
"19784","干娘","N",NA,NA
"19785","干呕","N",NA,NA
"19786","干谯","N",NA,NA
"19787","干扰","N",NA,NA
"19788","干扰者","N",NA,NA
"19789","干傻事","N",NA,NA
"19790","干上","N",NA,NA
"19791","干涉","N",NA,NA
"19792","干什么","N",NA,NA
"19793","干声连连","N",NA,NA
"19794","干他","N",NA,NA
"19795","干线","N",NA,NA
"19796","干笑","N",NA,NA
"19797","干休","N",NA,NA
"19798","干着急","N",NA,NA
"19799","干政","N",NA,NA
"19800","骭林娘","N",NA,NA
"19801","刚愎","N",NA,NA
"19802","刚愎自用","N",NA,NA
"19803","刚戾自用","N",NA,NA
"19804","杠上","N",NA,NA
"19805","纲纪废弛","N",NA,NA
"19806","羔子","N",NA,NA
"19807","高傲态度","N",NA,NA
"19808","高不成","N",NA,NA
"19809","高车驷马","N",NA,NA
"19810","高度兴奋","N",NA,NA
"19811","高分低能","N",NA,NA
"19812","高高在上","N",NA,NA
"19813","高估","N",NA,NA
"19814","高价","N",NA,NA
"19815","高锰酸钾","N",NA,NA
"19816","高睨大谈","N",NA,NA
"19817","高鸟尽良弓藏","N",NA,NA
"19818","高烧","N",NA,NA
"19819","高声","N",NA,NA
"19820","高视阔步","N",NA,NA
"19821","高速疾驶","N",NA,NA
"19822","高抬贵手","N",NA,NA
"19823","高谈大论","N",NA,NA
"19824","高谈阔论","N",NA,NA
"19825","高谈虚论","N",NA,NA
"19826","高危","N",NA,NA
"19827","高下在口","N",NA,NA
"19828","高压","N",NA,NA
"19829","高阳酒徒","N",NA,NA
"19830","高音","N",NA,NA
"19831","高姿态","N",NA,NA
"19832","高自标誉","N",NA,NA
"19833","高自标置","N",NA,NA
"19834","膏脣贩舌","N",NA,NA
"19835","膏脣岐舌","N",NA,NA
"19836","膏脣拭舌","N",NA,NA
"19837","膏粱子弟","N",NA,NA
"19838","膏药","N",NA,NA
"19839","搞臭","N",NA,NA
"19840","搞错","N",NA,NA
"19841","搞得","N",NA,NA
"19842","搞得一团乱","N",NA,NA
"19843","搞的鬼","N",NA,NA
"19844","搞斗争","N",NA,NA
"19845","搞飞机","N",NA,NA
"19846","搞封建","N",NA,NA
"19847","搞妇运","N",NA,NA
"19848","搞公关","N",NA,NA
"19849","搞关系","N",NA,NA
"19850","搞阶级斗争","N",NA,NA
"19851","搞垮","N",NA,NA
"19852","搞了鬼","N",NA,NA
"19853","搞了再说","N",NA,NA
"19854","搞乱","N",NA,NA
"19855","搞屁啊","N",NA,NA
"19856","搞钱","N",NA,NA
"19857","搞啥鬼","N",NA,NA
"19858","搞什麽","N",NA,NA
"19859","搞什麽飞机","N",NA,NA
"19860","搞什麽鬼","N",NA,NA
"19861","搞什麽名堂","N",NA,NA
"19862","搞什麽玩意","N",NA,NA
"19863","搞台独","N",NA,NA
"19864","搞统一","N",NA,NA
"19865","搞投机","N",NA,NA
"19866","搞下去","N",NA,NA
"19867","搞小动作","N",NA,NA
"19868","搞小圈圈","N",NA,NA
"19869","搞新闻","N",NA,NA
"19870","搞性","N",NA,NA
"19871","搞阴谋","N",NA,NA
"19872","搞援交","N",NA,NA
"19873","搞砸","N",NA,NA
"19874","搞糟","N",NA,NA
"19875","搞这一套","N",NA,NA
"19876","搞政变","N",NA,NA
"19877","搞政治","N",NA,NA
"19878","槁形灰心","N",NA,NA
"19879","稿子","N",NA,NA
"19880","告吹","N",NA,NA
"19881","告发","N",NA,NA
"19882","告负","N",NA,NA
"19883","告诫","N",NA,NA
"19884","告警","N",NA,NA
"19885","告老还乡","N",NA,NA
"19886","告密","N",NA,NA
"19887","告朔饩羊","N",NA,NA
"19888","告诉错误","N",NA,NA
"19889","告诉错误的消息","N",NA,NA
"19890","告终","N",NA,NA
"19891","告状","N",NA,NA
"19892","疙里疙瘩","N",NA,NA
"19893","咯噔","N",NA,NA
"19894","咯咯","N",NA,NA
"19895","咯咯声","N",NA,NA
"19896","哥尼玛","N",NA,NA
"19897","胳臂","N",NA,NA
"19898","胳膊","N",NA,NA
"19899","割地","N",NA,NA
"19900","割断","N",NA,NA
"19901","割据","N",NA,NA
"19902","割裂","N",NA,NA
"19903","割让","N",NA,NA
"19904","割伤","N",NA,NA
"19905","割下","N",NA,NA
"19906","搁浅","N",NA,NA
"19907","搁下","N",NA,NA
"19908","歌功颂德","N",NA,NA
"19909","歌功颂德","P",NA,NA
"19910","歌舞升平","N",NA,NA
