"","lemma","Polarity","Emotion_Category","Personality"
"474","霸凌","N","4",NA
"475","霸凌","N","2",NA
"476","霸氣","P","1",NA
"477","霸王","N",NA,NA
"478","霸王","P","",NA
"479","吧","0","",NA
"480","掰掰","N","",NA
"481","白痴","N","4",NA
"482","白癡","N","4",NA
"483","白費","N","2",NA
"484","白富美","P","1",NA
"485","白目","N","4",NA
"486","白內障","","4",NA
"487","白內障","N","3",NA
"488","白色粉末","","4",NA
"489","白色粉末","N","3",NA
"490","白天睡大覺","N","4",NA
"491","白天睡大覺","N","2",NA
"492","白頭偕老","P","",NA
"493","白皙","P","",NA
"494","白皙無瑕","P","",NA
"495","白眼","","4",NA
"496","白眼","N","4",4
"497","白衣女子","N","3",NA
"498","白蟻","N","3",NA
"499","白蟻","N","2,4",NA
"500","百般不耐","","4",NA
"501","百般推辭","N","2",NA
"502","百般推辭","N","3",NA
"503","百般無奈","N","",NA
"504","百發百不中","N","",NA
"505","百分之百支持","P","1",NA
"506","百分之百支持","P","1",NA
"507","百感叢生","C","",NA
"508","百感交集","C","",NA
"509","百貨公司購物","P","",NA
"510","百思不得其解","N","3",NA
"511","百思不解","0","5",NA
"512","百思不解","N","5",NA
"513","百無聊賴","N","2",NA
"514","百依百順","P","1",NA
"515","百折不撓","P","1",NA
"516","擺架子","N","4",4
"517","擺闊","N","4",4
"518","擺爛","N","4",NA
"519","擺門面","N","4",4
"520","擺譜兒","N","4",4
"521","擺樣子","N","4",4
"522","拜服","P","1",NA
"523","拜個","P","",NA
"524","拜個","P","",NA
"525","拜金女","N","4",NA
"526","拜年","P","1",NA
"527","拜託","N","3",NA
"528","拜託","N","3,4",NA
"529","敗給","N","2",NA
"530","敗給","N","3",NA
"531","敗壞","N","4",NA
"532","敗家","N","4",NA
"533","敗家","N","2",NA
"534","敗家子","N","4",NA
"535","敗犬","N","4",NA
"536","敗訴","N","",NA
"537","敗興","N","4",NA
"538","敗興而歸","N","2",NA
"539","敗在","N","2",NA
"540","敗子回頭","P","1",NA
"541","班門弄斧","N","4",4
"542","搬家","N","",NA
"543","搬離","N","",NA
"544","搬弄","N","4",4
"545","頒發","P","1",NA
"546","頒發","P","1",NA
"547","板臉","N","4",NA
"548","板滯","N","4",NA
"549","半點證據","N","",NA
"550","半毛錢","N","",NA
"551","半夢半醒","N","3",NA
"552","半天","N","",NA
"553","半信半疑","N","4",NA
"554","半夜","N","",NA
"555","半夜時","N","3",NA
"556","半夜睡不著","N","",NA
"557","半夜醒來","N","",NA
"558","伴侶","P","",NA
"559","伴手禮","P","",NA
"560","扮演關鍵角色","P","",NA
"561","拌嘴","N","4",4
"562","絆倒","N","",NA
"563","絆了一跤","","4",NA
"564","絆了一跤","N","3",NA
"565","幫","P","1",NA
"566","幫","P","1",NA
"567","幫幫我","","3,4",NA
"568","幫幫我","N","3",NA
"569","幫不了","N","2",NA
"570","幫忙","P","1",NA
"571","幫忙祈福","P","1",NA
"572","幫忙祈福","P","1",NA
"573","幫忙照料","P","1",NA
"574","幫忙照料","P","1",NA
"575","幫妳做","P","",NA
"576","幫派","","4",NA
"577","幫派","N","3",NA
"578","幫手","P","1",NA
"579","幫我","P","1",NA
"580","幫兇","N","",NA
"581","幫助","P","1",NA
"582","幫助別人","P","",NA
"583","綁縛","N","",NA
"584","綁架","","4",NA
"585","綁架","N","3",NA
"586","棒","P","1",NA
"587","包庇","N","4",4
"588","包藏禍心","N","4",4
"589","包山包海","N","",NA
"590","包治百病","P","1",NA
"591","褒貶","N","4",4
"592","褒揚","P","1",1
"593","薄","0","",NA
"594","薄弱","N","2",2
"595","薄弱","N","",NA
"596","保持上膛","N","3",NA
"597","保護","P","",NA
"598","保護","P","1",NA
"599","保家衛國","P","",NA
"600","保密","N","4",4
"601","保密","P",NA,NA
"602","保暖衣物","P","1",NA
"603","保暖衣物","P","1",NA
"604","保濕","P","",NA
"605","保時捷","P","",NA
"606","保守","N","4",NA
"607","保外就醫","N","4",NA
"608","保外就醫","N","2",NA
"609","保衛","P","",NA
"610","保佑","P","1",NA
"611","保佑","P","1",NA
"612","保障","P","1",NA
"613","保障","P","1",NA
"614","保證","P","",NA
"615","保住","N","3",NA
"616","保住","P","4",NA
